repeat,fold,k,max_depth,f1
9,2,10,None,0.7586206896551724
9,3,10,None,0.7478260869565218
9,4,10,None,0.7563025210084033
9,5,10,None,0.8
9,6,10,None,0.7368421052631579
9,7,10,None,0.7350427350427351
9,8,10,None,0.7692307692307693
9,9,10,None,0.6727272727272727
9,10,10,None,0.8292682926829268
10,1,10,None,0.7304347826086957
10,2,10,None,0.6915887850467289
10,3,10,None,0.6851851851851852
10,4,10,None,0.7833333333333333
10,5,10,None,0.816
10,6,10,None,0.8292682926829268
10,7,10,None,0.8217054263565892
10,8,10,None,0.7130434782608696
10,9,10,None,0.7627118644067796
10,10,10,None,0.7394957983193278
