"k","max_depth","n","mean_f1","sd","se","ci_lower","ci_upper"
"3","3",10,0.0022527354644926,0.00177990365817062,0.000562854957548494,0.000979469090657793,0.0035260018383274
"3","5",10,0.0646027298510744,0.009832592039782,0.00310933861489521,0.0575689172318242,0.0716365424703246
"3","None",10,0.739712579074181,0.00701917501206029,0.00221965803334504,0.734691363755087,0.744733794393275
"5","3",10,0.00280119723781696,0.00130954809906037,0.000414115469857457,0.00186440296145337,0.00373799151418055
"5","5",10,0.0669705671633379,0.00658783933770911,0.0020832577166416,0.0622579107976825,0.0716832235289933
"5","None",10,0.751996538496607,0.00882327286871714,0.0027901638682314,0.745684749316707,0.758308327676508
"10","3",10,0.00251956181533646,0.000885497213905289,0.000280018805767404,0.00188611526815153,0.00315300836252139
"10","5",10,0.0653149723904184,0.00863570780424615,0.00273085058691093,0.0591373591747062,0.0714925856061307
"10","None",10,0.75467513700609,0.00403820632214827,0.00127699296396802,0.751786378225807,0.757563895786373
