k,max_depth,n,mean_f1,sd,se,ci_lower,ci_upper
3,3,10,0.002252735464492598,0.0017799036581706241,0.000562854957548494,0.0009794690906263328,0.003526001838358863
3,5,10,0.06460272985107442,0.009832592039782003,0.0031093386148952065,0.057568917231650384,0.07163654247049846
3,None,10,0.7397125790741812,0.0070191750120602876,0.002219658033345036,0.7346913637549631,0.7447337943933993
5,3,10,0.002801197237816956,0.0013095480990603676,0.00041411546985745676,0.0018644029614302195,0.003737991514203692
5,5,10,0.0669705671633379,0.006587839337709107,0.002083257716641596,0.062257910797566034,0.07168322352910976
5,None,10,0.7519965384966073,0.00882327286871714,0.002790163868231398,0.7456847493165509,0.7583083276766637
10,3,10,0.002519561815336463,0.000885497213905289,0.00028001880576740363,0.00188611526813588,0.0031530083625370456
10,5,10,0.06531497239041843,0.008635707804246153,0.002730850586910934,0.059137359174553546,0.07149258560628333
10,None,10,0.7546751370060897,0.004038206322148269,0.0012769929639680183,0.7517863782257351,0.7575638957864442
