"max_depth","n","mean_f1","sd","se","ci_lower","ci_upper"
"3",30,0.00252449817254867,0.00134559465441775,0.000245670848494323,0.00202204487100019,0.00302695147409715
"5",30,0.0656294231349436,0.00822404158657315,0.00150149769694223,0.0625585155375633,0.0687003307323238
"None",30,0.748794751525626,0.00940285530155213,0.00171671865120571,0.745283667652978,0.752305835398274
