k,n,mean_f1,sd,se,ci_lower,ci_upper
3,10,0.7397125790741812,0.0070191750120602876,0.002219658033345036,0.7346913637549631,0.7447337943933993
5,10,0.7519965384966073,0.00882327286871714,0.002790163868231398,0.7456847493165509,0.7583083276766637
10,10,0.7546751370060897,0.004038206322148269,0.0012769929639680183,0.7517863782257351,0.7575638957864442
