repeat,fold,k,max_depth,f1
5,4,5,None,0.7404255319148936
5,5,5,None,0.7782426778242678
6,1,5,None,0.7288888888888889
6,2,5,None,0.7848101265822784
6,3,5,None,0.7811158798283262
6,4,5,None,0.7350427350427351
6,5,5,None,0.7901234567901234
7,1,5,None,0.7717842323651453
7,2,5,None,0.7619047619047619
7,3,5,None,0.7256637168141593
7,4,5,None,0.7532467532467533
7,5,5,None,0.7404255319148936
8,1,5,None,0.6877828054298643
8,2,5,None,0.7467811158798283
8,3,5,None,0.7413793103448276
8,4,5,None,0.7983870967741935
8,5,5,None,0.7381974248927039
9,1,5,None,0.7565217391304347
9,2,5,None,0.7192982456140351
9,3,5,None,0.774468085106383
9,4,5,None,0.7639484978540773
9,5,5,None,0.7659574468085106
10,1,5,None,0.7232142857142857
10,2,5,None,0.759493670886076
10,3,5,None,0.8166666666666667
10,4,5,None,0.7186147186147186
10,5,5,None,0.7336244541484717
1,1,10,3,0.0
1,2,10,3,0.0
1,3,10,3,0.0
1,4,10,3,0.0
1,5,10,3,0.0
1,6,10,3,0.0
1,7,10,3,0.0
1,8,10,3,0.0
1,9,10,3,0.0
1,10,10,3,0.0
2,1,10,3,0.0
2,2,10,3,0.028169014084507043
2,3,10,3,0.0
2,4,10,3,0.0
2,5,10,3,0.0
2,6,10,3,0.0
2,7,10,3,0.0
2,8,10,3,0.0
2,9,10,3,0.0
2,10,10,3,0.0
3,1,10,3,0.0
3,2,10,3,0.0
3,3,10,3,0.0
3,4,10,3,0.0
3,5,10,3,0.0
3,6,10,3,0.0
3,7,10,3,0.0
3,8,10,3,0.0
3,9,10,3,0.0
3,10,10,3,0.027777777777777776
4,1,10,3,0.0
4,2,10,3,0.0
4,3,10,3,0.0
4,4,10,3,0.0
4,5,10,3,0.0
4,6,10,3,0.0
4,7,10,3,0.0
4,8,10,3,0.0
4,9,10,3,0.0
4,10,10,3,0.027777777777777776
5,1,10,3,0.0
5,2,10,3,0.0
5,3,10,3,0.028169014084507043
5,4,10,3,0.0
5,5,10,3,0.0
5,6,10,3,0.0
5,7,10,3,0.0
5,8,10,3,0.0
5,9,10,3,0.0
5,10,10,3,0.0
6,1,10,3,0.0
6,2,10,3,0.0
6,3,10,3,0.0
6,4,10,3,0.0
6,5,10,3,0.0
6,6,10,3,0.0
6,7,10,3,0.027777777777777776
6,8,10,3,0.0
6,9,10,3,0.0
6,10,10,3,0.0
7,1,10,3,0.0
7,2,10,3,0.0
7,3,10,3,0.028169014084507043
7,4,10,3,0.0
7,5,10,3,0.0
7,6,10,3,0.0
7,7,10,3,0.0
7,8,10,3,0.0
7,9,10,3,0.0
7,10,10,3,0.0
8,1,10,3,0.028169014084507043
8,2,10,3,0.0
8,3,10,3,0.0
8,4,10,3,0.0
8,5,10,3,0.0
8,6,10,3,0.0
8,7,10,3,0.0
8,8,10,3,0.0
8,9,10,3,0.0
8,10,10,3,0.0
9,1,10,3,0.0
9,2,10,3,0.0
9,3,10,3,0.0
9,4,10,3,0.0
9,5,10,3,0.0
9,6,10,3,0.0
9,7,10,3,0.027777777777777776
9,8,10,3,0.0
9,9,10,3,0.0
9,10,10,3,0.0
10,1,10,3,0.028169014084507043
10,2,10,3,0.0
10,3,10,3,0.0
10,4,10,3,0.0
10,5,10,3,0.0
10,6,10,3,0.0
10,7,10,3,0.0
10,8,10,3,0.0
10,9,10,3,0.0
10,10,10,3,0.0
1,1,10,5,0.0821917808219178
1,2,10,5,0.08108108108108109
1,3,10,5,0.0
1,4,10,5,0.13157894736842105
1,5,10,5,0.08108108108108109
1,6,10,5,0.10666666666666667
1,7,10,5,0.0547945205479452
1,8,10,5,0.08108108108108109
1,9,10,5,0.0547945205479452
1,10,10,5,0.027777777777777776
2,1,10,5,0.028169014084507043
2,2,10,5,0.05555555555555555
2,3,10,5,0.13333333333333333
2,4,10,5,0.08108108108108109
2,5,10,5,0.027777777777777776
2,6,10,5,0.027777777777777776
2,7,10,5,0.027777777777777776
2,8,10,5,0.027777777777777776
2,9,10,5,0.08108108108108109
2,10,10,5,0.0
3,1,10,5,0.028169014084507043
3,2,10,5,0.05555555555555555
3,3,10,5,0.10810810810810811
3,4,10,5,0.10526315789473684
3,5,10,5,0.10666666666666667
3,6,10,5,0.10666666666666667
3,7,10,5,0.0547945205479452
3,8,10,5,0.08108108108108109
3,9,10,5,0.027777777777777776
3,10,10,5,0.08108108108108109
4,1,10,5,0.05555555555555555
4,2,10,5,0.0
4,3,10,5,0.028169014084507043
4,4,10,5,0.027777777777777776
4,5,10,5,0.10666666666666667
4,6,10,5,0.0
4,7,10,5,0.10666666666666667
4,8,10,5,0.13157894736842105
4,9,10,5,0.027777777777777776
4,10,10,5,0.1794871794871795
5,1,10,5,0.05555555555555555
5,2,10,5,0.0
5,3,10,5,0.10810810810810811
5,4,10,5,0.08108108108108109
5,5,10,5,0.027777777777777776
5,6,10,5,0.08108108108108109
5,7,10,5,0.0547945205479452
5,8,10,5,0.027777777777777776
5,9,10,5,0.0547945205479452
5,10,10,5,0.10666666666666667
6,1,10,5,0.05555555555555555
6,2,10,5,0.0
6,3,10,5,0.05555555555555555
6,4,10,5,0.0547945205479452
6,5,10,5,0.08108108108108109
6,6,10,5,0.0
6,7,10,5,0.13157894736842105
6,8,10,5,0.0
6,9,10,5,0.13157894736842105
6,10,10,5,0.10666666666666667
7,1,10,5,0.05555555555555555
7,2,10,5,0.0821917808219178
7,3,10,5,0.0821917808219178
7,4,10,5,0.0547945205479452
7,5,10,5,0.0547945205479452
7,6,10,5,0.10666666666666667
7,7,10,5,0.0547945205479452
7,8,10,5,0.0547945205479452
7,9,10,5,0.08108108108108109
7,10,10,5,0.027777777777777776
8,1,10,5,0.0821917808219178
8,2,10,5,0.05555555555555555
8,3,10,5,0.10810810810810811
8,4,10,5,0.15584415584415584
8,5,10,5,0.0547945205479452
8,6,10,5,0.027777777777777776
8,7,10,5,0.10666666666666667
8,8,10,5,0.0547945205479452
8,9,10,5,0.0547945205479452
8,10,10,5,0.0547945205479452
9,1,10,5,0.0
9,2,10,5,0.05555555555555555
9,3,10,5,0.13333333333333333
9,4,10,5,0.0547945205479452
9,5,10,5,0.08108108108108109
9,6,10,5,0.10666666666666667
9,7,10,5,0.0547945205479452
9,8,10,5,0.0547945205479452
9,9,10,5,0.08108108108108109
9,10,10,5,0.10666666666666667
10,1,10,5,0.0821917808219178
10,2,10,5,0.0821917808219178
10,3,10,5,0.0
10,4,10,5,0.0547945205479452
10,5,10,5,0.08108108108108109
10,6,10,5,0.0
10,7,10,5,0.0273972602739726
10,8,10,5,0.027777777777777776
10,9,10,5,0.13157894736842105
10,10,10,5,0.08108108108108109
1,1,10,None,0.773109243697479
1,2,10,None,0.7704918032786885
1,3,10,None,0.7142857142857143
1,4,10,None,0.7142857142857143
1,5,10,None,0.7936507936507936
1,6,10,None,0.6666666666666666
1,7,10,None,0.7413793103448276
1,8,10,None,0.7716535433070866
1,9,10,None,0.7833333333333333
1,10,10,None,0.7899159663865546
2,1,10,None,0.819672131147541
2,2,10,None,0.6972477064220184
2,3,10,None,0.7478260869565218
2,4,10,None,0.8292682926829268
2,5,10,None,0.7543859649122807
2,6,10,None,0.7580645161290323
2,7,10,None,0.7142857142857143
2,8,10,None,0.6842105263157895
2,9,10,None,0.7627118644067796
2,10,10,None,0.7603305785123967
3,1,10,None,0.7692307692307693
3,2,10,None,0.7863247863247863
3,3,10,None,0.7256637168141593
3,4,10,None,0.8412698412698413
3,5,10,None,0.7899159663865546
3,6,10,None,0.8166666666666667
3,7,10,None,0.7627118644067796
3,8,10,None,0.7256637168141593
3,9,10,None,0.7394957983193278
3,10,10,None,0.5981308411214953
4,1,10,None,0.6666666666666666
4,2,10,None,0.7192982456140351
4,3,10,None,0.7256637168141593
4,4,10,None,0.7304347826086957
4,5,10,None,0.7933884297520661
4,6,10,None,0.773109243697479
4,7,10,None,0.7666666666666667
4,8,10,None,0.7868852459016393
4,9,10,None,0.7768595041322314
4,10,10,None,0.7413793103448276
5,1,10,None,0.8429752066115702
5,2,10,None,0.7543859649122807
5,3,10,None,0.819672131147541
5,4,10,None,0.7079646017699115
5,5,10,None,0.7368421052631579
5,6,10,None,0.7692307692307693
5,7,10,None,0.7580645161290323
5,8,10,None,0.6785714285714286
5,9,10,None,0.7936507936507936
5,10,10,None,0.7758620689655172
6,1,10,None,0.7027027027027027
6,2,10,None,0.7272727272727273
6,3,10,None,0.7457627118644068
6,4,10,None,0.7758620689655172
6,5,10,None,0.7413793103448276
6,6,10,None,0.8166666666666667
6,7,10,None,0.7058823529411765
6,8,10,None,0.7394957983193278
6,9,10,None,0.8
6,10,10,None,0.7933884297520661
7,1,10,None,0.7610619469026548
7,2,10,None,0.743801652892562
7,3,10,None,0.8166666666666667
7,4,10,None,0.7543859649122807
7,5,10,None,0.7768595041322314
7,6,10,None,0.6964285714285714
7,7,10,None,0.7627118644067796
7,8,10,None,0.7692307692307693
7,9,10,None,0.7017543859649122
7,10,10,None,0.7666666666666667
8,1,10,None,0.7586206896551724
8,2,10,None,0.6842105263157895
8,3,10,None,0.7288135593220338
8,4,10,None,0.7933884297520661
8,5,10,None,0.7863247863247863
8,6,10,None,0.7017543859649122
8,7,10,None,0.7796610169491526
8,8,10,None,0.8636363636363636
8,9,10,None,0.6785714285714286
8,10,10,None,0.7692307692307693
9,1,10,None,0.7272727272727273
9,2,10,None,0.7586206896551724
9,3,10,None,0.7478260869565218
9,4,10,None,0.7563025210084033
9,5,10,None,0.8
9,6,10,None,0.7368421052631579
9,7,10,None,0.7350427350427351
9,8,10,None,0.7692307692307693
9,9,10,None,0.6727272727272727
9,10,10,None,0.8292682926829268
10,1,10,None,0.7304347826086957
10,2,10,None,0.6915887850467289
10,3,10,None,0.6851851851851852
10,4,10,None,0.7833333333333333
10,5,10,None,0.816
10,6,10,None,0.8292682926829268
10,7,10,None,0.8217054263565892
10,8,10,None,0.7130434782608696
10,9,10,None,0.7627118644067796
10,10,10,None,0.7394957983193278
